AAVE.USD,ADA.USD,ALGO.USD,APE.USD,APT.USD,ATOM.USD,AVAX.USD,AXS.USD,BCH.USD,BNB.USD,BTC.USD,CHZ.USD,CRV.USD,DASH.USD,DOGE.USD,DOT.USD,EGLD.USD,EOS.USD,ETC.USD,ETH.USD,FIL.USD,FLOW.USD,FTM.USD,GRT.USD,HBAR.USD,ICP.USD,IMX.USD,LDO.USD,LINK.USD,LRC.USD,LTC.USD,MANA.USD,MASK.USD,MATIC.USD,MKR.USD,NEAR.USD,NEO.USD,OP.USD,PAXG.USD,QNT.USD,SAND.USD,SNX.USD,SOL.USD,THETA.USD,TRX.USD,UNI.USD,VET.USD,XLM.USD,XTZ.USD,ZIL.USD
78.7,0.354,0.247,5.0639,12.5093,12.403,17.31,9.68,132.81,302.3973,23297.34,0.1311,1.012,72.0,0.0814,6.43,48.68,1.1515,20.9371,1617.14,6.49,1.17,0.4333,0.1549,0.0693,5.87,1.095,3.067,7.2364,0.3516,94.75,0.6318,3.955,1.215,819.0299,2.259,12.85,2.74,1808.91,126.8,0.6907,2.83,22.3776,1.137,0.0691,6.5755,0.0273,0.0873,1.1488,0.0312
78.7,0.3541,0.247,5.0639,12.5093,12.41,17.34,9.68,133.12,302.447,23290.16,0.1311,1.012,72.0,0.0812,6.43,48.68,1.1548,20.9371,1617.95,6.49,1.17,0.4333,0.155,0.0693,5.87,1.095,3.066,7.2364,0.3516,95.02,0.6341,3.955,1.2166,819.0299,2.259,12.853,2.739,1808.91,126.8,0.6907,2.83,22.3776,1.137,0.0691,6.5755,0.0273,0.0873,1.1488,0.0312
78.7,0.3549,0.247,5.0562,12.5093,12.42,17.35,9.68,133.11,302.538,23306.83,0.1311,1.012,72.0,0.0814,6.43,48.72,1.1548,20.9371,1620.16,6.51,1.17,0.4333,0.1553,0.0694,5.87,1.09,3.055,7.2478,0.3539,95.22,0.6341,3.955,1.2201,823.0199,2.262,12.853,2.739,1808.91,126.5,0.6907,2.814,22.3778,1.137,0.0692,6.5755,0.0273,0.0873,1.1488,0.0314
78.96,0.3551,0.247,5.0562,12.5093,12.419,17.38,9.71,133.11,302.6568,23331.8,0.1311,1.012,72.0,0.0814,6.45,48.692,1.1548,20.9177,1621.74,6.53,1.17,0.4344,0.1555,0.0695,5.87,1.089,3.093,7.2638,0.3539,95.28,0.6341,3.955,1.2237,822.2201,2.262,12.853,2.743,1808.91,126.6,0.6907,2.814,22.3812,1.137,0.0692,6.6114,0.0273,0.0874,1.1552,0.0314
79.14,0.3554,0.247,5.0675,12.5412,12.409,17.38,9.71,133.2,302.7259,23333.57,0.133,1.019,72.0,0.0815,6.45,48.77,1.1594,20.9479,1622.03,6.52,1.17,0.4344,0.1555,0.0694,5.88,1.09,3.088,7.2609,0.3539,95.35,0.6367,3.984,1.223,824.81,2.263,12.81,2.743,1808.91,127.0,0.6907,2.792,22.3486,1.143,0.0694,6.6293,0.0274,0.0873,1.1552,0.0315
79.06,0.3552,0.247,5.0677,12.5145,12.416,17.38,9.71,133.2,302.8137,23325.03,0.133,1.017,72.0,0.0814,6.46,48.77,1.1584,20.9553,1622.26,6.52,1.17,0.4342,0.1552,0.0693,5.88,1.095,3.088,7.2598,0.3539,95.38,0.6364,3.984,1.2237,825.3712,2.263,12.81,2.731,1808.91,127.0,0.6915,2.792,22.3194,1.143,0.0694,6.6499,0.0274,0.0873,1.1552,0.0315
79.12,0.3563,0.247,5.0735,12.5084,12.423,17.39,9.71,133.2,303.309,23429.47,0.133,1.018,72.0,0.0816,6.46,48.824,1.1584,20.9332,1629.24,6.57,1.17,0.4355,0.1558,0.0694,5.9,1.1,3.088,7.2876,0.3539,95.6,0.6358,3.984,1.2298,826.2565,2.267,12.81,2.733,1808.91,127.3,0.6907,2.8,22.4,1.143,0.0692,6.6524,0.0274,0.0871,1.1599,0.0315
79.6,0.3568,0.248,5.0972,12.585,12.444,17.44,9.77,133.49,303.5538,23416.81,0.1332,1.022,72.56,0.0816,6.48,48.886,1.1624,21.0483,1631.75,6.6,1.17,0.4375,0.1563,0.0697,5.94,1.103,3.088,7.3075,0.3539,95.8,0.6388,3.982,1.2333,821.8508,2.276,12.81,2.745,1808.91,127.9,0.6907,2.8,22.4414,1.153,0.0695,6.6932,0.0274,0.0871,1.1618,0.0315
79.67,0.3566,0.248,5.1083,12.546,12.458,17.42,9.77,133.56,303.6845,23429.86,0.1332,1.022,72.56,0.0817,6.48,48.886,1.1614,21.0696,1633.59,6.62,1.17,0.4384,0.1564,0.0697,5.94,1.097,3.099,7.3198,0.3563,95.75,0.6388,3.982,1.2362,826.4399,2.28,12.713,2.742,1808.91,127.9,0.6907,2.8,22.4295,1.156,0.0695,6.7025,0.0274,0.0871,1.1618,0.0315
79.64,0.357,0.248,5.1316,12.5674,12.449,17.43,9.77,133.73,303.8056,23428.52,0.1332,1.022,72.56,0.0818,6.5,48.886,1.1614,21.0366,1634.3,6.62,1.17,0.4374,0.1565,0.0696,5.95,1.097,3.099,7.3335,0.3569,95.8,0.6388,3.982,1.234,826.4399,2.295,12.713,2.753,1808.91,127.7,0.6907,2.8,22.4147,1.155,0.0693,6.7073,0.0274,0.0876,1.1618,0.0315
